Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC Positif,,,,13-02-2024 19:03:37,13-02-2024 19:05:53,2m - 16.437s,PASSED
,,,,,,,
Test Cases/Search,,,,13-02-2024 19:03:37,13-02-2024 19:04:04,26.921s,PASSED
"startApplication(""/Users/admin/Downloads/Advantage+demo+3.2.apk"", true)",,,,13-02-2024 19:03:37,13-02-2024 19:03:53,16.527s,PASSED
"tap(findTestObject(""Object Repository/Search/android.widget.EditText - Search""), 0)",,,,13-02-2024 19:03:53,13-02-2024 19:03:56,2.770s,PASSED
"setText(findTestObject(""Object Repository/Search/android.widget.EditText - Search""), ""Headphones"", 0)",,,,13-02-2024 19:03:56,13-02-2024 19:04:00,3.410s,PASSED
"tap(findTestObject(""Object Repository/Search/android.widget.ImageView""), 0)",,,,13-02-2024 19:04:00,13-02-2024 19:04:01,1.051s,PASSED
closeApplication(),,,,13-02-2024 19:04:01,13-02-2024 19:04:04,3.059s,PASSED
,,,,,,,
Test Cases/Login,,,,13-02-2024 19:04:04,13-02-2024 19:04:27,23.598s,PASSED
"startApplication(""/Users/admin/Downloads/Advantage+demo+3.2.apk"", true)",,,,13-02-2024 19:04:04,13-02-2024 19:04:14,10.033s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.ImageView""), 0)",,,,13-02-2024 19:04:14,13-02-2024 19:04:17,3.128s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.LinearLayout""), 0)",,,,13-02-2024 19:04:17,13-02-2024 19:04:20,2.730s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText""), UserName, 0)",,,,13-02-2024 19:04:20,13-02-2024 19:04:22,1.861s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText (1)""), Password, 0)",,,,13-02-2024 19:04:22,13-02-2024 19:04:24,2.167s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - LOGIN""), 0)",,,,13-02-2024 19:04:24,13-02-2024 19:04:25,1.648s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - NO""), 0)",,,,13-02-2024 19:04:25,13-02-2024 19:04:27,1.944s,PASSED
,,,,,,,
Test Cases/Login,,,,13-02-2024 19:04:27,13-02-2024 19:04:56,28.918s,PASSED
"startApplication(""/Users/admin/Downloads/Advantage+demo+3.2.apk"", true)",,,,13-02-2024 19:04:28,13-02-2024 19:04:40,12.679s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.ImageView""), 0)",,,,13-02-2024 19:04:40,13-02-2024 19:04:45,4.775s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.LinearLayout""), 0)",,,,13-02-2024 19:04:45,13-02-2024 19:04:46,1.110s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText""), UserName, 0)",,,,13-02-2024 19:04:46,13-02-2024 19:04:50,3.451s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText (1)""), Password, 0)",,,,13-02-2024 19:04:50,13-02-2024 19:04:52,2.534s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - LOGIN""), 0)",,,,13-02-2024 19:04:52,13-02-2024 19:04:53,0.907s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - NO""), 0)",,,,13-02-2024 19:04:53,13-02-2024 19:04:56,3.426s,PASSED
,,,,,,,
Test Cases/Login,,,,13-02-2024 19:04:56,13-02-2024 19:05:25,28.566s,PASSED
"startApplication(""/Users/admin/Downloads/Advantage+demo+3.2.apk"", true)",,,,13-02-2024 19:04:56,13-02-2024 19:05:09,12.900s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.ImageView""), 0)",,,,13-02-2024 19:05:09,13-02-2024 19:05:13,3.693s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.LinearLayout""), 0)",,,,13-02-2024 19:05:13,13-02-2024 19:05:16,2.963s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText""), UserName, 0)",,,,13-02-2024 19:05:16,13-02-2024 19:05:18,1.940s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText (1)""), Password, 0)",,,,13-02-2024 19:05:18,13-02-2024 19:05:20,2.241s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - LOGIN""), 0)",,,,13-02-2024 19:05:20,13-02-2024 19:05:21,0.889s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - NO""), 0)",,,,13-02-2024 19:05:21,13-02-2024 19:05:25,3.897s,PASSED
,,,,,,,
Test Cases/Login,,,,13-02-2024 19:05:25,13-02-2024 19:05:53,28.153s,PASSED
"startApplication(""/Users/admin/Downloads/Advantage+demo+3.2.apk"", true)",,,,13-02-2024 19:05:25,13-02-2024 19:05:39,13.492s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.ImageView""), 0)",,,,13-02-2024 19:05:39,13-02-2024 19:05:43,4.392s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.LinearLayout""), 0)",,,,13-02-2024 19:05:43,13-02-2024 19:05:44,0.506s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText""), UserName, 0)",,,,13-02-2024 19:05:44,13-02-2024 19:05:47,3.215s,PASSED
"setText(findTestObject(""Object Repository/Login/android.widget.EditText (1)""), Password, 0)",,,,13-02-2024 19:05:47,13-02-2024 19:05:49,2.397s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - LOGIN""), 0)",,,,13-02-2024 19:05:49,13-02-2024 19:05:50,0.915s,PASSED
"tap(findTestObject(""Object Repository/Login/android.widget.Button - NO""), 0)",,,,13-02-2024 19:05:50,13-02-2024 19:05:53,3.186s,PASSED
